file_id,loc,sloc,cyclomatic_avg,cyclomatic_max,function_count,class_count,nesting_depth_max,nesting_depth_avg,comment_ratio,avg_var_name_len,unique_var_count,halstead_vocab,parse_error
code_0001,132,108,1.7142857142857142,4,7,0,6,2.5,0.0,7.4091,22,0,False
code_0002,101,81,1.7142857142857142,5,7,0,5,2.6,0.0,7.5,16,0,False
code_0003,112,91,1.5,3,7,1,4,2.0,0.0,7.7391,23,0,False
code_0004,141,115,1.8571428571428572,3,7,0,7,2.8333,0.0,7.4667,15,0,False
code_0005,82,62,1.375,3,10,0,2,1.1429,0.07317073170731707,7.5714,7,0,False
code_0006,145,111,1.6521739130434783,5,18,5,3,1.625,0.0,8.4286,14,0,False
code_0007,194,152,1.6896551724137931,4,23,6,3,1.3333,0.0,8.25,20,0,False
code_0008,228,177,1.9615384615384615,10,21,5,4,1.75,0.0,6.3182,22,0,False
code_0009,220,169,1.6785714285714286,4,22,6,1,1.0,0.0,6.9375,16,0,False
code_0010,168,128,1.5416666666666667,3,19,5,1,1.0,0.0,7.9167,12,0,False
code_0011,0,0,1.0,1,0,0,0,0.0,0.0,0.0,0,0,False
code_0012,71,51,2.2,3,8,2,2,1.125,0.014084507042253521,7.875,16,0,False
code_0013,143,86,1.5625,3,15,3,1,1.0,0.13286713286713286,6.1429,7,0,False
code_0014,153,96,1.6428571428571428,3,13,1,2,1.2857,0.10457516339869281,7.8095,21,0,False
code_0015,146,93,2.5833333333333335,5,7,5,2,1.1667,0.1095890410958904,8.8571,14,0,False
code_0016,130,95,1.0,1,8,0,1,1.0,0.007692307692307693,8.4444,9,0,False
code_0017,91,61,2.75,4,4,0,4,1.8333,0.01098901098901099,5.5,20,0,False
code_0018,118,89,1.1428571428571428,2,7,0,1,1.0,0.00847457627118644,6.4,10,0,False
code_0019,102,78,1.5,3,6,0,2,1.25,0.00980392156862745,6.2353,17,0,False
code_0020,120,75,1.6363636363636365,4,11,0,3,1.375,0.008333333333333333,5.75,12,0,False
code_0021,96,71,1.6923076923076923,3,8,5,2,1.2,0.010416666666666666,6.2308,13,0,False
code_0022,94,73,2.3846153846153846,4,10,3,4,1.8462,0.010638297872340425,6.875,8,0,False
code_0023,102,76,2.1333333333333333,6,12,3,4,1.8182,0.00980392156862745,4.3636,11,0,False
code_0024,101,72,2.1875,5,12,4,3,1.6667,0.009900990099009901,4.6667,9,0,False
code_0025,113,81,1.894736842105263,6,14,5,1,1.0,0.008849557522123894,2.75,4,0,False
code_0026,110,84,1.8571428571428572,3,11,3,2,1.2222,0.01818181818181818,5.3846,13,0,False
code_0027,121,94,1.7142857142857142,3,11,3,2,1.1667,0.01652892561983471,6.0,22,0,False
code_0028,159,115,2.6,5,12,3,2,1.1538,0.012578616352201259,8.4444,27,0,False
code_0029,152,108,2.9,6,8,2,3,1.5333,0.013157894736842105,6.9722,36,0,False
code_0030,105,75,2.076923076923077,6,10,3,2,1.2222,0.01904761904761905,5.5,12,0,False
code_0031,124,91,1.1428571428571428,2,7,0,1,1.0,0.008064516129032258,5.4118,17,0,False
code_0032,97,65,1.25,2,8,0,1,1.0,0.010309278350515464,4.7692,13,0,False
code_0033,129,94,1.0,1,6,0,1,1.0,0.007751937984496124,6.5882,17,0,False
code_0034,121,87,1.2,2,5,0,1,1.0,0.008264462809917356,7.0952,21,0,False
code_0035,159,112,1.8571428571428572,7,7,0,1,1.0,0.006289308176100629,5.4,15,0,False
code_0036,109,78,1.8571428571428572,3,7,0,3,1.4615,0.009174311926605505,6.84,25,0,False
code_0037,129,100,2.6,13,9,1,7,3.0833,0.007751937984496124,5.0,14,0,False
code_0038,141,106,2.5384615384615383,9,12,1,7,2.2273,0.0070921985815602835,7.0714,14,0,False
code_0039,156,116,2.727272727272727,10,10,1,8,2.3077,0.00641025641025641,6.0,14,0,False
code_0040,112,87,1.9090909090909092,6,9,2,2,1.375,0.03571428571428571,5.25,8,0,False
code_0041,97,67,1.1666666666666667,2,6,0,1,1.0,0.010309278350515464,6.5263,19,0,False
code_0042,80,50,1.0,1,6,0,1,1.0,0.0125,6.7273,11,0,False
code_0043,96,67,1.0,1,6,0,1,1.0,0.010416666666666666,7.4,10,0,False
code_0044,110,77,1.8333333333333333,6,6,0,3,1.6667,0.00909090909090909,7.25,12,0,False
code_0045,67,41,2.4,6,5,0,3,1.5,0.014925373134328358,6.4444,18,0,False
code_0046,83,67,1.3333333333333333,2,3,0,1,1.0,0.0,5.0,3,0,False
code_0047,125,102,1.6666666666666667,3,3,0,1,1.0,0.0,6.5,4,0,False
code_0048,115,93,2.5,5,6,0,1,1.0,0.0,4.0,8,0,False
code_0049,114,94,2.3333333333333335,4,6,0,2,1.25,0.0,7.1,10,0,False
code_0050,64,36,5.0,5,1,0,3,1.7778,0.234375,7.9048,21,0,False
code_0051,102,73,2.8,7,5,0,2,1.2857,0.00980392156862745,4.4348,23,0,False
code_0052,67,57,1.75,3,4,0,2,1.25,0.0,8.4286,14,0,False
code_0053,105,81,2.142857142857143,3,7,0,2,1.1429,0.0,8.2258,31,0,False
code_0054,92,68,1.5714285714285714,2,7,0,1,1.0,0.0,7.9167,12,0,False
code_0055,118,80,1.8888888888888888,4,9,0,2,1.3333,0.0,7.8125,16,0,False
code_0056,140,102,2.1818181818181817,4,10,1,2,1.2353,0.014285714285714285,6.8824,17,0,False
code_0057,109,72,2.6666666666666665,3,4,0,2,1.3333,0.03669724770642202,8.7917,24,0,False
code_0058,208,156,2.3333333333333335,5,17,1,2,1.1071,0.004807692307692308,6.6471,17,0,False
code_0059,136,87,2.4444444444444446,13,9,0,7,2.1,0.007352941176470588,6.1818,11,0,False
code_0060,167,116,2.375,9,14,2,6,1.875,0.005988023952095809,5.4444,18,0,False
code_0061,102,73,2.8,7,5,0,2,1.2857,0.00980392156862745,4.4348,23,0,False
code_0062,0,0,1.0,1,0,0,0,0.0,0.0,0.0,0,0,False
code_0063,97,70,2.0,5,6,0,2,1.4,0.010309278350515464,5.0,25,0,False
code_0064,99,70,2.0,4,6,0,2,1.2,0.010101010101010102,4.625,24,0,False
code_0065,91,57,1.6,4,5,0,2,1.5,0.01098901098901099,3.6923,26,0,False
code_0066,42,29,3.0,3,1,0,2,1.25,0.023809523809523808,4.6,10,0,False
code_0067,30,20,1.0,1,1,0,2,1.5,0.03333333333333333,8.0,6,0,False
code_0068,59,42,4.0,4,1,0,2,1.5,0.01694915254237288,5.5417,24,0,False
code_0069,37,28,1.5,2,2,0,3,1.8,0.02702702702702703,5.8,5,0,False
code_0070,75,55,3.0,4,2,0,3,1.625,0.013333333333333334,5.1538,26,0,False
code_0071,58,41,2.0,4,2,1,2,1.3333,0.08620689655172414,7.2857,7,0,False
code_0072,154,126,1.0,1,4,0,1,1.0,0.025974025974025976,10.5385,13,0,False
code_0073,104,69,1.8,6,9,1,3,1.5556,0.0,6.5625,16,0,False
code_0074,104,72,2.0,4,7,2,2,1.1667,0.0,7.8571,14,0,False
code_0075,44,33,3.3333333333333335,7,3,0,2,1.25,0.022727272727272728,7.75,8,0,False
code_0076,42,29,2.6666666666666665,4,3,0,2,1.3333,0.023809523809523808,7.5,4,0,False
code_0077,63,49,2.2,5,5,0,3,1.7143,0.015873015873015872,6.7692,13,0,False
code_0078,28,21,2.5,4,2,0,1,1.0,0.03571428571428571,7.8,5,0,False
code_0079,50,40,2.1666666666666665,4,6,0,2,1.25,0.02,5.1333,15,0,False
code_0080,68,50,3.0,6,3,0,1,1.0,0.014705882352941176,6.1818,11,0,False
code_0081,85,57,4.0,5,4,0,2,1.4545,0.011764705882352941,4.6842,19,0,False
code_0082,55,37,1.75,2,4,0,1,1.0,0.01818181818181818,6.5,10,0,False
