file_id,loc,sloc,cyclomatic_avg,cyclomatic_max,function_count,class_count,nesting_depth_max,nesting_depth_avg,comment_ratio,avg_var_name_len,unique_var_count,halstead_vocab,parse_error,quality_score,label
code_0001,132,108,1.7142857142857142,4,7,0,6,2.5,0.0,7.4091,22,0,False,0.5245,Moderate
code_0002,101,81,1.7142857142857142,5,7,0,5,2.6,0.0,7.5,16,0,False,0.4769,Moderate
code_0003,112,91,1.5,3,7,1,4,2.0,0.0,7.7391,23,0,False,0.3757,Moderate
code_0004,141,115,1.8571428571428568,3,7,0,7,2.8333,0.0,7.4667,15,0,False,0.5686,Moderate
code_0005,82,62,1.375,3,10,0,2,1.1429,0.073170731707317,7.5714,7,0,False,0.2224,Good
code_0006,145,111,1.6521739130434785,5,18,5,3,1.625,0.0,8.4286,14,0,False,0.2889,Good
code_0007,194,152,1.6896551724137931,4,23,6,3,1.3333,0.0,8.25,20,0,False,0.2759,Good
code_0008,228,177,1.9615384615384612,10,21,5,4,1.75,0.0,6.3182,22,0,False,0.5366,Moderate
code_0009,220,169,1.6785714285714286,4,22,6,1,1.0,0.0,6.9375,16,0,False,0.2606,Good
code_0010,168,128,1.5416666666666667,3,19,5,1,1.0,0.0,7.9167,12,0,False,0.1958,Good
code_0011,0,0,1.0,1,0,0,0,0.0,0.0,0.0,0,0,False,0.135,Good
code_0012,71,51,2.2,3,8,2,2,1.125,0.0140845070422535,7.875,16,0,False,0.2618,Good
code_0013,143,86,1.5625,3,15,3,1,1.0,0.1328671328671328,6.1429,7,0,False,0.1773,Good
code_0014,153,96,1.6428571428571428,3,13,1,2,1.2857,0.1045751633986928,7.8095,21,0,False,0.2624,Good
code_0015,146,93,2.583333333333333,5,7,5,2,1.1667,0.1095890410958904,8.8571,14,0,False,0.3445,Good
code_0016,130,95,1.0,1,8,0,1,1.0,0.0076923076923076,8.4444,9,0,False,0.2175,Good
code_0017,91,61,2.75,4,4,0,4,1.8333,0.0109890109890109,5.5,20,0,False,0.4898,Moderate
code_0018,118,89,1.1428571428571428,2,7,0,1,1.0,0.0084745762711864,6.4,10,0,False,0.2548,Good
code_0019,102,78,1.5,3,6,0,2,1.25,0.0098039215686274,6.2353,17,0,False,0.3164,Good
code_0020,120,75,1.6363636363636365,4,11,0,3,1.375,0.0083333333333333,5.75,12,0,False,0.3597,Moderate
code_0021,96,71,1.6923076923076923,3,8,5,2,1.2,0.0104166666666666,6.2308,13,0,False,0.2401,Good
code_0022,94,73,2.3846153846153846,4,10,3,4,1.8462,0.0106382978723404,6.875,8,0,False,0.3884,Moderate
code_0023,102,76,2.1333333333333333,6,12,3,4,1.8182,0.0098039215686274,4.3636,11,0,False,0.4199,Moderate
code_0024,101,72,2.1875,5,12,4,3,1.6667,0.0099009900990099,4.6667,9,0,False,0.353,Moderate
code_0025,113,81,1.894736842105263,6,14,5,1,1.0,0.0088495575221238,2.75,4,0,False,0.284,Good
code_0026,110,84,1.8571428571428568,3,11,3,2,1.2222,0.0181818181818181,5.3846,13,0,False,0.2769,Good
code_0027,121,94,1.7142857142857142,3,11,3,2,1.1667,0.0165289256198347,6.0,22,0,False,0.2707,Good
code_0028,159,115,2.6,5,12,3,2,1.1538,0.0125786163522012,8.4444,27,0,False,0.3841,Moderate
code_0029,152,108,2.9,6,8,2,3,1.5333,0.0131578947368421,6.9722,36,0,False,0.5001,Moderate
code_0030,105,75,2.076923076923077,6,10,3,2,1.2222,0.019047619047619,5.5,12,0,False,0.3481,Good
code_0031,124,91,1.1428571428571428,2,7,0,1,1.0,0.0080645161290322,5.4118,17,0,False,0.263,Good
code_0032,97,65,1.25,2,8,0,1,1.0,0.0103092783505154,4.7692,13,0,False,0.2304,Good
code_0033,129,94,1.0,1,6,0,1,1.0,0.0077519379844961,6.5882,17,0,False,0.2394,Good
code_0034,121,87,1.2,2,5,0,1,1.0,0.0082644628099173,7.0952,21,0,False,0.2619,Good
code_0035,159,112,1.8571428571428568,7,7,0,1,1.0,0.0062893081761006,5.4,15,0,False,0.4529,Moderate
code_0036,109,78,1.8571428571428568,3,7,0,3,1.4615,0.0091743119266055,6.84,25,0,False,0.3619,Moderate
code_0037,129,100,2.6,13,9,1,7,3.0833,0.0077519379844961,5.0,14,0,False,0.7868,Bad
code_0038,141,106,2.5384615384615383,9,12,1,7,2.2273,0.0070921985815602,7.0714,14,0,False,0.6615,Bad
code_0039,156,116,2.727272727272727,10,10,1,8,2.3077,0.0064102564102564,6.0,14,0,False,0.7687,Bad
code_0040,112,87,1.9090909090909087,6,9,2,2,1.375,0.0357142857142857,5.25,8,0,False,0.3736,Moderate
code_0041,97,67,1.1666666666666667,2,6,0,1,1.0,0.0103092783505154,6.5263,19,0,False,0.2243,Good
code_0042,80,50,1.0,1,6,0,1,1.0,0.0125,6.7273,11,0,False,0.173,Good
code_0043,96,67,1.0,1,6,0,1,1.0,0.0104166666666666,7.4,10,0,False,0.1935,Good
code_0044,110,77,1.8333333333333333,6,6,0,3,1.6667,0.009090909090909,7.25,12,0,False,0.4391,Moderate
code_0045,67,41,2.4,6,5,0,3,1.5,0.0149253731343283,6.4444,18,0,False,0.4214,Moderate
code_0046,83,67,1.3333333333333333,2,3,0,1,1.0,0.0,5.0,3,0,False,0.2752,Good
code_0047,125,102,1.6666666666666667,3,3,0,1,1.0,0.0,6.5,4,0,False,0.3617,Moderate
code_0048,115,93,2.5,5,6,0,1,1.0,0.0,4.0,8,0,False,0.4331,Moderate
code_0049,114,94,2.333333333333333,4,6,0,2,1.25,0.0,7.1,10,0,False,0.4133,Moderate
code_0050,64,36,5.0,5,1,0,3,1.7778,0.234375,7.9048,21,0,False,0.5111,Moderate
code_0051,102,73,2.8,7,5,0,2,1.2857,0.0098039215686274,4.4348,23,0,False,0.4944,Moderate
code_0052,67,57,1.75,3,4,0,2,1.25,0.0,8.4286,14,0,False,0.2959,Good
code_0053,105,81,2.142857142857143,3,7,0,2,1.1429,0.0,8.2258,31,0,False,0.3303,Good
code_0054,92,68,1.5714285714285714,2,7,0,1,1.0,0.0,7.9167,12,0,False,0.2382,Good
code_0055,118,80,1.8888888888888888,4,9,0,2,1.3333,0.0,7.8125,16,0,False,0.3466,Good
code_0056,140,102,2.1818181818181817,4,10,1,2,1.2353,0.0142857142857142,6.8824,17,0,False,0.3758,Moderate
code_0057,109,72,2.6666666666666665,3,4,0,2,1.3333,0.036697247706422,8.7917,24,0,False,0.3783,Moderate
code_0058,208,156,2.333333333333333,5,17,1,2,1.1071,0.0048076923076923,6.6471,17,0,False,0.4428,Moderate
code_0059,136,87,2.4444444444444446,13,9,0,7,2.1,0.0073529411764705,6.1818,11,0,False,0.7614,Bad
code_0060,167,116,2.375,9,14,2,6,1.875,0.0059880239520958,5.4444,18,0,False,0.6214,Bad
code_0061,102,73,2.8,7,5,0,2,1.2857,0.0098039215686274,4.4348,23,0,False,0.4944,Moderate
code_0062,0,0,1.0,1,0,0,0,0.0,0.0,0.0,0,0,False,0.135,Good
code_0063,97,70,2.0,5,6,0,2,1.4,0.0103092783505154,5.0,25,0,False,0.385,Moderate
code_0064,99,70,2.0,4,6,0,2,1.2,0.0101010101010101,4.625,24,0,False,0.3666,Moderate
code_0065,91,57,1.6,4,5,0,2,1.5,0.0109890109890109,3.6923,26,0,False,0.3448,Good
code_0066,42,29,3.0,3,1,0,2,1.25,0.0238095238095238,4.6,10,0,False,0.3864,Moderate
code_0067,30,20,1.0,1,1,0,2,1.5,0.0333333333333333,8.0,6,0,False,0.1799,Good
code_0068,59,42,4.0,4,1,0,2,1.5,0.0169491525423728,5.5417,24,0,False,0.4833,Moderate
code_0069,37,28,1.5,2,2,0,3,1.8,0.027027027027027,5.8,5,0,False,0.2913,Good
code_0070,75,55,3.0,4,2,0,3,1.625,0.0133333333333333,5.1538,26,0,False,0.4671,Moderate
code_0071,58,41,2.0,4,2,1,2,1.3333,0.0862068965517241,7.2857,7,0,False,0.3018,Good
code_0072,154,126,1.0,1,4,0,1,1.0,0.0259740259740259,10.5385,13,0,False,0.2633,Good
code_0073,104,69,1.8,6,9,1,3,1.5556,0.0,6.5625,16,0,False,0.3928,Moderate
code_0074,104,72,2.0,4,7,2,2,1.1667,0.0,7.8571,14,0,False,0.3248,Good
code_0075,44,33,3.333333333333333,7,3,0,2,1.25,0.0227272727272727,7.75,8,0,False,0.4536,Moderate
code_0076,42,29,2.6666666666666665,4,3,0,2,1.3333,0.0238095238095238,7.5,4,0,False,0.3532,Moderate
code_0077,63,49,2.2,5,5,0,3,1.7143,0.0158730158730158,6.7692,13,0,False,0.3958,Moderate
code_0078,28,21,2.5,4,2,0,1,1.0,0.0357142857142857,7.8,5,0,False,0.2888,Good
code_0079,50,40,2.1666666666666665,4,6,0,2,1.25,0.02,5.1333,15,0,False,0.3185,Good
code_0080,68,50,3.0,6,3,0,1,1.0,0.0147058823529411,6.1818,11,0,False,0.4193,Moderate
code_0081,85,57,4.0,5,4,0,2,1.4545,0.0117647058823529,4.6842,19,0,False,0.5215,Moderate
code_0082,55,37,1.75,2,4,0,1,1.0,0.0181818181818181,6.5,10,0,False,0.229,Good
code_0083,75,52,2.2,5,5,0,1,1.0,0.0133333333333333,4.8571,14,0,False,0.3464,Good
code_0084,142,103,2.555555555555556,6,8,1,3,1.25,0.028169014084507,7.3636,22,0,False,0.4761,Moderate
code_0085,116,80,1.9,5,9,1,4,1.6923,0.0344827586206896,5.6875,16,0,False,0.424,Moderate
code_0086,121,83,1.7,4,8,2,1,1.0,0.0330578512396694,6.5294,17,0,False,0.2798,Good
code_0087,139,94,1.4,4,9,1,1,1.0,0.0287769784172661,9.0,20,0,False,0.268,Good
code_0088,135,93,1.4545454545454546,3,9,2,1,1.0,0.0296296296296296,7.2667,15,0,False,0.2514,Good
code_0089,76,55,1.818181818181818,3,7,4,1,1.0,0.0131578947368421,6.8,10,0,False,0.2052,Good
code_0090,52,37,2.0,3,4,1,1,1.0,0.0384615384615384,8.1667,6,0,False,0.2329,Good
code_0091,74,53,1.818181818181818,3,7,4,2,1.3333,0.0135135135135135,8.25,8,0,False,0.2303,Good
code_0092,73,54,1.818181818181818,3,7,4,1,1.0,0.0136986301369863,6.75,8,0,False,0.2039,Good
code_0093,74,55,1.818181818181818,3,7,4,1,1.0,0.0135135135135135,6.125,8,0,False,0.21,Good
code_0094,33,24,2.0,3,2,0,1,1.0,0.0,5.6667,6,0,False,0.2705,Good
